Order_id;Product;Warehouse;Delivery_time;delay;date
1;Laptop;A;2;0;2026-05-01
2;Phone;B;5;1;2026-05-01
3;Laptop;A;3;0;2026-05-02
4;Tablet;C;6;1;2026-05-02
5;Smartphone;A;1;0;2026-05-03
6;Mouse;A;6;1;2026-05-03
7;Keyboard;C;3;1;2026-05-15
8;Laptop;A;3;0;2026-05-16
9;Mouse;B;5;1;2026-05-17
10;Keyboard;A;2;0;2026-05-19
11;Keyboard;C;5;1;2026-05-22
12;Laptop;A;3;0;2026-05-25
13;Tablet;B;6;0;2026-05-27
14;Mouse;A;1;0;2026-05-29
15;Smartphone;C;4;1;2026-06-01
16;Phone;B;3;0;2026-06-03
17;Laptop;A;2;1;2026-06-10
18;Mouse;A;6;1;2026-06-12
19;Laptop;C;1;0;2026-06-15
20;Keyboard;A;2;0;2026-06-22
21;Keyboard;C;5;1;2026-06-23
22;Laptop;A;3;0;2026-06-25
23;Tablet;B;6;0;2026-06-27
24;Mouse;A;1;0;2026-06-29
25;Smartphone;C;4;1;2026-07-01
26;Phone;B;3;0;2026-07-03
27;Laptop;A;2;1;2026-07-14
28;Mouse;A;6;1;2026-07-19
29;Laptop;C;1;0;2026-07-22
